match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4196,0,cCarterbAizazKhan,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4175,26,notout,169.23,0,2,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4135,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4064,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4065,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4410,8,cdeGrandhommebBennett,116.67,1,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4402,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4406,21,bdeGrandhomme,120.00,3,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4398,15,bStarc,130.00,2,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4388,21,notout,283.33,2,1,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4387,-,dnb,-,-,-,Tail
