,matchid,date
0,Matches/MatchScorecard_T20.asp?MatchCode=0925,2019-09-21
1,Matches/MatchScorecard_T20.asp?MatchCode=0914,2019-09-15
2,Matches/MatchScorecard_T20.asp?MatchCode=0912,2019-09-13
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2019-07-31
4,Matches/MatchScorecard_ODI.asp?MatchCode=4357,2019-07-28
5,Matches/MatchScorecard_ODI.asp?MatchCode=4356,2019-07-26
6,Matches/MatchScorecard_ODI.asp?MatchCode=4286,2019-07-05
7,Matches/MatchScorecard_ODI.asp?MatchCode=4329,2019-06-20
8,Matches/MatchScorecard_ODI.asp?MatchCode=4296,2019-05-17
9,Matches/MatchScorecard_ODI.asp?MatchCode=4295,2019-05-15
10,Matches/MatchScorecard_ODI.asp?MatchCode=4293,2019-05-13
11,Matches/MatchScorecard_ODI.asp?MatchCode=4252,2019-02-20
12,Matches/MatchScorecard_ODI.asp?MatchCode=4251,2019-02-16
13,Matches/MatchScorecard_ODI.asp?MatchCode=4250,2019-02-13
14,Matches/MatchScorecard_ODI.asp?MatchCode=4345,2019-02-07
15,Matches/MatchScorecard_T20.asp?MatchCode=0673,2018-10-03
16,Matches/MatchScorecard_T20.asp?MatchCode=0672,2018-08-03
17,Matches/MatchScorecard_ODI.asp?MatchCode=4181,2018-07-28
18,Matches/MatchScorecard_ODI.asp?MatchCode=4180,2018-07-25
19,Matches/MatchScorecard_ODI.asp?MatchCode=4179,2018-07-22
20,Matches/MatchScorecard_T20.asp?MatchCode=0683,2018-05-06
21,Matches/MatchScorecard_T20.asp?MatchCode=0677,2018-03-18
22,Matches/MatchScorecard_T20.asp?MatchCode=0676,2018-03-16
23,Matches/MatchScorecard_T20.asp?MatchCode=0675,2018-03-14
24,Matches/MatchScorecard_T20.asp?MatchCode=0681,2018-03-06
25,Matches/MatchScorecard_T20.asp?MatchCode=0663,2018-02-15
26,Matches/MatchScorecard_ODI.asp?MatchCode=4124,2018-01-27
27,Matches/MatchScorecard_ODI.asp?MatchCode=4122,2018-01-25
28,Matches/MatchScorecard_ODI.asp?MatchCode=4121,2018-01-23
29,Matches/MatchScorecard_ODI.asp?MatchCode=4116,2018-01-19
30,Matches/MatchScorecard_ODI.asp?MatchCode=4109,2018-01-15
31,Matches/MatchScorecard_ODI.asp?MatchCode=4022,2017-12-05
32,Matches/MatchScorecard_T20.asp?MatchCode=0644,2017-10-29
33,Matches/MatchScorecard_T20.asp?MatchCode=0641,2017-10-26
34,Matches/MatchScorecard_ODI.asp?MatchCode=4086,2017-10-22
35,Matches/MatchScorecard_ODI.asp?MatchCode=4083,2017-10-18
36,Matches/MatchScorecard_ODI.asp?MatchCode=4080,2017-10-15
37,Matches/MatchScorecard_ODI.asp?MatchCode=4039,2017-09-06
38,Matches/MatchScorecard_T20.asp?MatchCode=0590,2017-08-01
39,Matches/MatchScorecard_ODI.asp?MatchCode=4047,2017-06-15
40,Matches/MatchScorecard_T20.asp?MatchCode=0621,2017-06-04
41,Matches/MatchScorecard_T20.asp?MatchCode=0589,2017-06-01
42,Matches/MatchScorecard_ODI.asp?MatchCode=4027,2017-05-24
