match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_T20.asp?MatchCode=0543,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3791,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4022,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0402,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4039,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0673,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0672,9,notout,88.89,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0644,5,runout,133.33,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0641,0,lbwbPaterson,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4086,2,csubbImranTahir,33.33,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4012,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4011,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4014,15,cGunaratnebKulasekara,51.85,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4047,11,notout,71.43,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0620,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3971,4,notout,30.77,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3969,2,c†RonchibFerguson,18.18,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0526,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0524,1,runout,50.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0522,18,notout,100.00,1,1
Matches/MatchScorecard_ODI.asp?MatchCode=3810,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3808,2,cKohlibKumar,40.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0425,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0590,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3970,0,st†RonchibSantner,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0497,1,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4083,3,notout,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3780,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0410,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0534,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3938,0,lbwbRashidKhan,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3936,2,bDawlatZadran,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3941,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3784,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4080,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3949,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3948,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0537,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3946,1,c†ButtlerbBall,25.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0549,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0547,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0529,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3799,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3798,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3797,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3774,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3765,0,lbwbMalinga,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3754,1,bAftabAlam,33.33,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3655,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3645,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3644,0,notout,0.00,0,0
