match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4234,0,lbwbBehrendorff,0.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0745,6,cMitchellbSantner,125.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4316,137,csubbStarc,107.34,16,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4266,1,cMaxwellbRichardson,10.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0744,32,cdeGrandhommebFerguson,96.77,2,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0742,37,bFerguson,161.11,2,3,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4310,9,c†deKockbRabada,66.67,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4263,25,lbwbMaxwell,72.41,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4249,7,cHenrybBoult,46.15,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0767,15,cStoinisbBehrendorff,58.33,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4258,0,cMaxwellbCoulter-Nile,0.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4242,79,c†LathambBoult,98.51,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4239,85,notout,72.82,6,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4236,23,c&amp;bStoinis,50.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4235,37,cKhawajabBehrendorff,114.29,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4171,48,cRashidbAli,148.15,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4220,46,cPowellbPaul,95.00,4,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4219,40,lbwbNurse,77.78,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4216,35,lbwbNurse,96.67,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4213,5,bThomas,66.67,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4130,127,cdeVilliersbMorkel,103.81,10,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4205,18,cSoumyaSarkarbNazmulIslam,107.14,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4201,138,runout,114.00,16,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4199,46,lbwbShakibAlHasan,85.11,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4197,54,cBabarAzambFaheemAshraf,85.19,6,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4196,150,cTanwirAfzalbShah,105.83,15,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0706,6,cBallbWilley,166.67,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4175,51,runout,89.80,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4173,42,cStokesbWilley,120.00,6,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4128,92,cMarkrambDuminy,120.63,12,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0693,97,cThompsonbO'Brien,164.44,5,5,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0704,11,runout,83.33,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4127,64,notout,91.07,9,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0699,5,bWilley,100.00,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0670,50,runout,117.50,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0669,31,cBehardienbDuminy,171.43,3,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0667,94,c†KlaasenbPhehlukwayo,184.62,10,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4135,20,cZondobNgidi,52.94,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4133,42,cPhehlukwayobRabada,147.83,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4221,7,bThomas,120.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4126,41,runout,120.69,6,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4099,121,notout,117.65,13,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4098,81,cThirimannebPathirana,101.49,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4042,96,cduPlessisbImranTahir,93.98,12,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4089,17,cWilliamsonbSouthee,70.00,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4088,81,cTaylorbMilne,80.95,5,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4085,10,c†LathambBoult,75.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4096,0,lbwbMathews,0.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0638,2,cWarnerbBehrendorff,33.33,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0631,28,runout,191.67,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4064,5,cPushpakumarabFernando,66.67,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4063,6,bMalinga,166.67,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4062,57,cMathewsbSiriwardana,98.00,6,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4061,162,notout,146.67,20,3,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4038,146,cMendisbMalinga,97.66,15,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0647,7,cSantnerbSouthee,100.00,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0637,18,notout,125.00,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4053,2,cChasebCummins,33.33,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4052,77,st†HopebNurse,106.78,10,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4051,103,lbwbBishoo,94.57,8,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4050,25,c†SarfarazAhmedbMohammadAmir,95.45,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4047,55,cMosaddeckHossainbMashrafeMortaza,135.29,7,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4057,5,cLewisbJoseph,133.33,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0646,1,bBoult,25.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4034,80,cAzharAlibShadabKhan,104.62,6,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=4056,5,cHolderbJoseph,71.43,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3976,13,bWoakes,73.33,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3974,1,cAlibWilley,10.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0645,102,c†LathambSodhi,153.85,10,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0510,70,c†ChandimalbChameera,204.00,7,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3874,10,cMarshbHazlewood,40.91,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0509,11,cGunathilakabRajitha,69.23,0,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0534,79,cSoumyaSarkarbTaskinAhmed,136.36,9,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0566,16,cKhawajabCoulter-Nile,108.33,1,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0560,27,lbwbShakibAlHasan,104.55,2,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0554,7,bMohammadSami,40.00,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0548,1,lbwbMcCullum,33.33,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0530,19,notout,80.00,3,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0522,2,bAl-AminHossain,50.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0511,53,notout,100.00,5,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0501,32,c†BancroftbWatson,288.89,4,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0499,49,cLynnbMaxwell,131.25,3,2,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0498,5,c†WadebWatson,62.50,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3878,95,cMarshbHastings,139.29,7,3,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3877,148,cBaileybHastings,111.50,14,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3876,81,bHastings,74.73,9,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3875,7,c†WadebParis,150.00,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0528,1,c†ChandimalbKulasekara,33.33,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3841,28,lbwbMorkel,82.14,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3851,72,cAmlabRabada,101.69,8,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3848,7,c†deKockbRabada,46.67,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3845,15,cdeVilliersbMorkel,44.83,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3844,27,cDuminybMorkel,67.65,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3781,125,cPorterfieldbThompson,117.65,11,5,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3811,89,cNasirHossainbMashrafeMortaza,102.74,10,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3810,64,c†LitonDasbNasirHossain,88.33,7,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3808,33,c†MushfiqurRahimbTaskinAhmed,78.95,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3775,10,cSammybTaylor,64.29,1,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0469,13,lbwbMorris,91.67,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3795,53,cMaxwellbHazlewood,109.76,6,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3791,33,st†MushfiqurRahimbShakibAlHasan,60.00,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3786,5,bPanyangara,20.00,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3768,17,cRohanMustafabMohammadNaveed,82.35,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3760,161,cAmlabParnell,93.84,16,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3751,86,runout,96.05,7,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0468,3,runout,75.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3744,42,c†ButtlerbWoakes,58.46,4,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3741,8,cFinchbStarc,61.54,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3735,1,c†ButtlerbAnderson,20.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3731,2,cFinchbStarc,50.00,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3680,1,bTaylor,11.11,0,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3683,43,cBravobRussell,100.00,6,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3667,17,cMorganbWoakes,69.57,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3664,13,c†ButtlerbWoakes,50.00,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3678,81,bSamuels,73.91,9,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0411,39,bWoakes,117.86,2,2,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3672,37,bAli,70.45,4,1,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0395,1,bAl-AminHossain,16.67,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0388,0,lbwbBadree,0.00,0,0,Top Order
Matches/MatchScorecard_T20.asp?MatchCode=0384,35,cSaeedAjmalbUmarGul,107.14,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3670,120,notout,119.75,11,4,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3612,10,cNLMcCullumbHenry,32.14,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3607,34,cGuptillbAnderson,112.00,4,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3603,14,bSouthee,54.55,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3601,35,cTaylorbAnderson,69.57,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3583,143,c&amp;bDJJBravo,125.26,20,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3581,40,lbwbPermaul,94.59,5,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3580,6,c†CharlesbHolder,83.33,1,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3588,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=3530,18,c†SangakkarabEranga,45.71,2,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3510,118,notout,95.33,10,1,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3568,115,bFaulkner,98.04,11,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3565,17,notout,116.67,3,0,Top Order
Matches/MatchScorecard_ODI.asp?MatchCode=3564,10,c†HaddinbMcKay,133.33,2,0,Top Order
