matchid,date
Matches/MatchScorecard_ODI.asp?MatchCode=4410,2020-02-11
Matches/MatchScorecard_ODI.asp?MatchCode=4402,2020-02-05
Matches/MatchScorecard_ODI.asp?MatchCode=4423,2020-03-13
Matches/MatchScorecard_ODI.asp?MatchCode=4353,2019-07-09
Matches/MatchScorecard_ODI.asp?MatchCode=4315,2019-06-08
Matches/MatchScorecard_ODI.asp?MatchCode=4355,2019-07-14
Matches/MatchScorecard_ODI.asp?MatchCode=4341,2019-06-29
Matches/MatchScorecard_ODI.asp?MatchCode=4337,2019-06-26
Matches/MatchScorecard_ODI.asp?MatchCode=4333,2019-06-22
Matches/MatchScorecard_ODI.asp?MatchCode=4328,2019-06-19
Matches/MatchScorecard_ODI.asp?MatchCode=4311,2019-06-05
Matches/MatchScorecard_ODI.asp?MatchCode=4346,2019-07-03
Matches/MatchScorecard_ODI.asp?MatchCode=4249,2019-02-03
Matches/MatchScorecard_ODI.asp?MatchCode=4252,2019-02-20
Matches/MatchScorecard_ODI.asp?MatchCode=4250,2019-02-13
Matches/MatchScorecard_ODI.asp?MatchCode=4248,2019-01-31
Matches/MatchScorecard_ODI.asp?MatchCode=4245,2019-01-28
Matches/MatchScorecard_ODI.asp?MatchCode=4239,2019-01-23
Matches/MatchScorecard_ODI.asp?MatchCode=4305,2019-06-01
Matches/MatchScorecard_ODI.asp?MatchCode=4149,2018-03-10
Matches/MatchScorecard_ODI.asp?MatchCode=4104,2018-01-08
Matches/MatchScorecard_ODI.asp?MatchCode=4146,2018-03-06
Matches/MatchScorecard_ODI.asp?MatchCode=4103,2018-01-06
Matches/MatchScorecard_ODI.asp?MatchCode=4139,2018-03-03
Matches/MatchScorecard_ODI.asp?MatchCode=4138,2018-02-28
Matches/MatchScorecard_ODI.asp?MatchCode=4137,2018-02-25
Matches/MatchScorecard_ODI.asp?MatchCode=4114,2018-01-18
Matches/MatchScorecard_ODI.asp?MatchCode=4110,2018-01-16
Matches/MatchScorecard_ODI.asp?MatchCode=4105,2018-01-13
Matches/MatchScorecard_ODI.asp?MatchCode=4102,2017-12-26
Matches/MatchScorecard_ODI.asp?MatchCode=4089,2017-10-29
Matches/MatchScorecard_ODI.asp?MatchCode=4088,2017-10-25
Matches/MatchScorecard_ODI.asp?MatchCode=4085,2017-10-22
Matches/MatchScorecard_ODI.asp?MatchCode=4039,2017-06-09
Matches/MatchScorecard_ODI.asp?MatchCode=4036,2017-06-06
Matches/MatchScorecard_ODI.asp?MatchCode=4027,2017-05-24
Matches/MatchScorecard_ODI.asp?MatchCode=4026,2017-05-21
Matches/MatchScorecard_ODI.asp?MatchCode=4024,2017-05-17
Matches/MatchScorecard_ODI.asp?MatchCode=4023,2017-05-14
Matches/MatchScorecard_ODI.asp?MatchCode=3988,2017-02-05
Matches/MatchScorecard_ODI.asp?MatchCode=4002,2017-03-04
Matches/MatchScorecard_ODI.asp?MatchCode=3997,2017-02-25
Matches/MatchScorecard_ODI.asp?MatchCode=3995,2017-02-22
Matches/MatchScorecard_ODI.asp?MatchCode=3992,2017-02-19
Matches/MatchScorecard_ODI.asp?MatchCode=4032,2017-06-02
Matches/MatchScorecard_ODI.asp?MatchCode=3984,2017-01-30
Matches/MatchScorecard_ODI.asp?MatchCode=3999,2017-03-01
Matches/MatchScorecard_ODI.asp?MatchCode=3971,2016-12-31
Matches/MatchScorecard_ODI.asp?MatchCode=3970,2016-12-29
Matches/MatchScorecard_ODI.asp?MatchCode=3969,2016-12-26
Matches/MatchScorecard_ODI.asp?MatchCode=3955,2016-10-29
Matches/MatchScorecard_ODI.asp?MatchCode=3954,2016-10-26
Matches/MatchScorecard_ODI.asp?MatchCode=3953,2016-10-23
Matches/MatchScorecard_ODI.asp?MatchCode=3952,2016-10-20
Matches/MatchScorecard_ODI.asp?MatchCode=3951,2016-10-16
Matches/MatchScorecard_ODI.asp?MatchCode=3968,2016-12-09
Matches/MatchScorecard_ODI.asp?MatchCode=3967,2016-12-06
Matches/MatchScorecard_ODI.asp?MatchCode=3886,2016-02-06
Matches/MatchScorecard_ODI.asp?MatchCode=3872,2016-01-05
Matches/MatchScorecard_ODI.asp?MatchCode=3966,2016-12-04
Matches/MatchScorecard_ODI.asp?MatchCode=3884,2016-02-03
Matches/MatchScorecard_ODI.asp?MatchCode=3870,2016-01-02
Matches/MatchScorecard_ODI.asp?MatchCode=3883,2016-01-31
Matches/MatchScorecard_ODI.asp?MatchCode=3879,2016-01-25
Matches/MatchScorecard_ODI.asp?MatchCode=3868,2015-12-31
Matches/MatchScorecard_ODI.asp?MatchCode=3866,2015-12-28
Matches/MatchScorecard_ODI.asp?MatchCode=3865,2015-12-26
Matches/MatchScorecard_ODI.asp?MatchCode=3805,2015-06-12
Matches/MatchScorecard_ODI.asp?MatchCode=3804,2015-06-09
Matches/MatchScorecard_ODI.asp?MatchCode=3809,2015-06-20
Matches/MatchScorecard_ODI.asp?MatchCode=3807,2015-06-17
Matches/MatchScorecard_ODI.asp?MatchCode=3806,2015-06-14
