matchid,date
Matches/MatchScorecard_ODI.asp?MatchCode=4340,2019-06-29
Matches/MatchScorecard_ODI.asp?MatchCode=4323,2019-06-15
Matches/MatchScorecard_ODI.asp?MatchCode=4315,2019-06-08
Matches/MatchScorecard_ODI.asp?MatchCode=4309,2019-06-04
Matches/MatchScorecard_ODI.asp?MatchCode=4306,2019-06-01
Matches/MatchScorecard_ODI.asp?MatchCode=4290,2019-05-10
Matches/MatchScorecard_ODI.asp?MatchCode=3916,2016-07-14
Matches/MatchScorecard_ODI.asp?MatchCode=3912,2016-07-04
Matches/MatchScorecard_ODI.asp?MatchCode=3785,2015-03-13
Matches/MatchScorecard_ODI.asp?MatchCode=3778,2015-03-08
Matches/MatchScorecard_ODI.asp?MatchCode=3773,2015-03-04
Matches/MatchScorecard_ODI.asp?MatchCode=3764,2015-02-26
Matches/MatchScorecard_ODI.asp?MatchCode=3759,2015-02-22
Matches/MatchScorecard_ODI.asp?MatchCode=3754,2015-02-18
Matches/MatchScorecard_ODI.asp?MatchCode=3730,2015-01-17
Matches/MatchScorecard_ODI.asp?MatchCode=3722,2015-01-10
Matches/MatchScorecard_ODI.asp?MatchCode=3721,2015-01-08
Matches/MatchScorecard_ODI.asp?MatchCode=3711,2014-12-04
Matches/MatchScorecard_ODI.asp?MatchCode=3707,2014-11-30
Matches/MatchScorecard_ODI.asp?MatchCode=3623,2014-03-01
Matches/MatchScorecard_ODI.asp?MatchCode=3561,2013-10-04
Matches/MatchScorecard_ODI.asp?MatchCode=3560,2013-10-02
Matches/MatchScorecard_ODI.asp?MatchCode=3483,2013-03-08
Matches/MatchScorecard_ODI.asp?MatchCode=3482,2013-03-06
Matches/MatchScorecard_ODI.asp?MatchCode=3310,2011-08-09
Matches/MatchScorecard_ODI.asp?MatchCode=3309,2011-08-07
Matches/MatchScorecard_ODI.asp?MatchCode=3183,2010-10-07
Matches/MatchScorecard_ODI.asp?MatchCode=3166,2010-08-17
Matches/MatchScorecard_ODI.asp?MatchCode=3164,2010-08-16
Matches/MatchScorecard_ODI.asp?MatchCode=3153,2010-07-10
Matches/MatchScorecard_ODI.asp?MatchCode=3149,2010-07-09
Matches/MatchScorecard_ODI.asp?MatchCode=3147,2010-07-07
Matches/MatchScorecard_ODI.asp?MatchCode=3142,2010-07-05
Matches/MatchScorecard_ODI.asp?MatchCode=3138,2010-07-03
Matches/MatchScorecard_ODI.asp?MatchCode=3135,2010-07-01
Matches/MatchScorecard_ODI.asp?MatchCode=3008,2009-09-01
Matches/MatchScorecard_ODI.asp?MatchCode=3007,2009-08-30
Matches/MatchScorecard_ODI.asp?MatchCode=2964,2009-04-19
