matchid,date
Matches/MatchScorecard_ODI.asp?MatchCode=4379,2019-11-11
Matches/MatchScorecard_ODI.asp?MatchCode=4290,2019-05-10
Matches/MatchScorecard_ODI.asp?MatchCode=4267,2019-03-10
Matches/MatchScorecard_ODI.asp?MatchCode=4378,2019-11-09
Matches/MatchScorecard_ODI.asp?MatchCode=4265,2019-03-08
Matches/MatchScorecard_ODI.asp?MatchCode=4340,2019-06-29
Matches/MatchScorecard_ODI.asp?MatchCode=4335,2019-06-24
Matches/MatchScorecard_ODI.asp?MatchCode=4332,2019-06-22
Matches/MatchScorecard_ODI.asp?MatchCode=4326,2019-06-18
Matches/MatchScorecard_ODI.asp?MatchCode=4323,2019-06-15
Matches/MatchScorecard_ODI.asp?MatchCode=4377,2019-11-06
Matches/MatchScorecard_ODI.asp?MatchCode=4301,2019-05-21
Matches/MatchScorecard_ODI.asp?MatchCode=4299,2019-05-19
Matches/MatchScorecard_ODI.asp?MatchCode=4262,2019-03-05
Matches/MatchScorecard_ODI.asp?MatchCode=4348,2019-07-04
Matches/MatchScorecard_ODI.asp?MatchCode=4257,2019-02-28
Matches/MatchScorecard_ODI.asp?MatchCode=4259,2019-03-02
Matches/MatchScorecard_ODI.asp?MatchCode=4131,2018-02-11
Matches/MatchScorecard_ODI.asp?MatchCode=4203,2018-09-25
Matches/MatchScorecard_ODI.asp?MatchCode=4202,2018-09-23
Matches/MatchScorecard_ODI.asp?MatchCode=4200,2018-09-21
Matches/MatchScorecard_ODI.asp?MatchCode=4198,2018-09-20
Matches/MatchScorecard_ODI.asp?MatchCode=4195,2018-09-17
Matches/MatchScorecard_ODI.asp?MatchCode=4129,2018-02-09
Matches/MatchScorecard_ODI.asp?MatchCode=4192,2018-08-31
Matches/MatchScorecard_ODI.asp?MatchCode=4190,2018-08-29
Matches/MatchScorecard_ODI.asp?MatchCode=4189,2018-08-27
Matches/MatchScorecard_ODI.asp?MatchCode=4164,2018-03-25
Matches/MatchScorecard_ODI.asp?MatchCode=4163,2018-03-23
Matches/MatchScorecard_ODI.asp?MatchCode=4160,2018-03-20
Matches/MatchScorecard_ODI.asp?MatchCode=4136,2018-02-19
Matches/MatchScorecard_ODI.asp?MatchCode=4134,2018-02-16
Matches/MatchScorecard_ODI.asp?MatchCode=4132,2018-02-13
Matches/MatchScorecard_ODI.asp?MatchCode=4043,2017-06-11
Matches/MatchScorecard_ODI.asp?MatchCode=4097,2017-12-10
Matches/MatchScorecard_ODI.asp?MatchCode=4040,2017-06-09
Matches/MatchScorecard_ODI.asp?MatchCode=4093,2017-12-07
Matches/MatchScorecard_ODI.asp?MatchCode=4046,2017-06-14
Matches/MatchScorecard_ODI.asp?MatchCode=4092,2017-12-05
Matches/MatchScorecard_ODI.asp?MatchCode=4010,2017-03-24
Matches/MatchScorecard_ODI.asp?MatchCode=4009,2017-03-22
Matches/MatchScorecard_ODI.asp?MatchCode=4008,2017-03-19
Matches/MatchScorecard_ODI.asp?MatchCode=4007,2017-03-17
Matches/MatchScorecard_ODI.asp?MatchCode=4006,2017-03-15
Matches/MatchScorecard_ODI.asp?MatchCode=3998,2017-02-26
Matches/MatchScorecard_ODI.asp?MatchCode=3996,2017-02-24
Matches/MatchScorecard_ODI.asp?MatchCode=3994,2017-02-21
Matches/MatchScorecard_ODI.asp?MatchCode=3993,2017-02-19
Matches/MatchScorecard_ODI.asp?MatchCode=3991,2017-02-16
Matches/MatchScorecard_ODI.asp?MatchCode=3915,2016-07-12
Matches/MatchScorecard_ODI.asp?MatchCode=3938,2016-09-28
Matches/MatchScorecard_ODI.asp?MatchCode=3936,2016-09-25
Matches/MatchScorecard_ODI.asp?MatchCode=3918,2016-07-19
Matches/MatchScorecard_ODI.asp?MatchCode=3917,2016-07-17
Matches/MatchScorecard_ODI.asp?MatchCode=3916,2016-07-14
Matches/MatchScorecard_ODI.asp?MatchCode=3913,2016-07-06
Matches/MatchScorecard_ODI.asp?MatchCode=3873,2016-01-06
Matches/MatchScorecard_ODI.asp?MatchCode=3912,2016-07-04
Matches/MatchScorecard_ODI.asp?MatchCode=3871,2016-01-04
Matches/MatchScorecard_ODI.asp?MatchCode=3869,2016-01-02
Matches/MatchScorecard_ODI.asp?MatchCode=3941,2016-10-01
Matches/MatchScorecard_ODI.asp?MatchCode=3867,2015-12-29
Matches/MatchScorecard_ODI.asp?MatchCode=3864,2015-12-25
Matches/MatchScorecard_ODI.asp?MatchCode=3850,2015-10-24
Matches/MatchScorecard_ODI.asp?MatchCode=3849,2015-10-22
Matches/MatchScorecard_ODI.asp?MatchCode=3847,2015-10-20
Matches/MatchScorecard_ODI.asp?MatchCode=3846,2015-10-18
Matches/MatchScorecard_ODI.asp?MatchCode=3843,2015-10-16
Matches/MatchScorecard_ODI.asp?MatchCode=3722,2015-01-10
Matches/MatchScorecard_ODI.asp?MatchCode=3778,2015-03-08
Matches/MatchScorecard_ODI.asp?MatchCode=3773,2015-03-04
Matches/MatchScorecard_ODI.asp?MatchCode=3764,2015-02-26
Matches/MatchScorecard_ODI.asp?MatchCode=3759,2015-02-22
Matches/MatchScorecard_ODI.asp?MatchCode=3754,2015-02-18
Matches/MatchScorecard_ODI.asp?MatchCode=3730,2015-01-17
Matches/MatchScorecard_ODI.asp?MatchCode=3725,2015-01-14
Matches/MatchScorecard_ODI.asp?MatchCode=3707,2014-11-30
Matches/MatchScorecard_ODI.asp?MatchCode=3705,2014-11-28
Matches/MatchScorecard_ODI.asp?MatchCode=3649,2014-07-18
Matches/MatchScorecard_ODI.asp?MatchCode=3628,2014-03-05
Matches/MatchScorecard_ODI.asp?MatchCode=3711,2014-12-04
Matches/MatchScorecard_ODI.asp?MatchCode=3626,2014-03-03
Matches/MatchScorecard_ODI.asp?MatchCode=3620,2014-02-27
Matches/MatchScorecard_ODI.asp?MatchCode=3709,2014-12-02
Matches/MatchScorecard_ODI.asp?MatchCode=3623,2014-03-01
Matches/MatchScorecard_ODI.asp?MatchCode=3483,2013-03-08
Matches/MatchScorecard_ODI.asp?MatchCode=3482,2013-03-06
Matches/MatchScorecard_ODI.asp?MatchCode=3561,2013-10-04
Matches/MatchScorecard_ODI.asp?MatchCode=3560,2013-10-02
Matches/MatchScorecard_ODI.asp?MatchCode=3437,2012-08-25
Matches/MatchScorecard_ODI.asp?MatchCode=3421,2012-07-05
Matches/MatchScorecard_ODI.asp?MatchCode=3407,2012-03-31
Matches/MatchScorecard_ODI.asp?MatchCode=3406,2012-03-29
Matches/MatchScorecard_ODI.asp?MatchCode=3310,2011-08-09
Matches/MatchScorecard_ODI.asp?MatchCode=3309,2011-08-07
Matches/MatchScorecard_ODI.asp?MatchCode=3187,2010-10-11
Matches/MatchScorecard_ODI.asp?MatchCode=3153,2010-07-10
Matches/MatchScorecard_ODI.asp?MatchCode=3185,2010-10-09
Matches/MatchScorecard_ODI.asp?MatchCode=3149,2010-07-09
Matches/MatchScorecard_ODI.asp?MatchCode=3166,2010-08-17
Matches/MatchScorecard_ODI.asp?MatchCode=3164,2010-08-16
Matches/MatchScorecard_ODI.asp?MatchCode=3183,2010-10-07
Matches/MatchScorecard_ODI.asp?MatchCode=3147,2010-07-07
Matches/MatchScorecard_ODI.asp?MatchCode=3142,2010-07-05
Matches/MatchScorecard_ODI.asp?MatchCode=3138,2010-07-03
Matches/MatchScorecard_ODI.asp?MatchCode=3089,2010-02-18
Matches/MatchScorecard_ODI.asp?MatchCode=3087,2010-02-16
Matches/MatchScorecard_ODI.asp?MatchCode=3135,2010-07-01
Matches/MatchScorecard_ODI.asp?MatchCode=3007,2009-08-30
Matches/MatchScorecard_ODI.asp?MatchCode=2964,2009-04-19
Matches/MatchScorecard_ODI.asp?MatchCode=3008,2009-09-01
