match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_T20.asp?MatchCode=0615,0,bRashidKhan,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0601,0,bSharif,0.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0602,11,notout,62.50,1,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0597,20,bMohammadNaveed,121.43,1,1,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0592,3,lbwbMohammadNabi,33.33,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0849,-,dnb,-,-,-,Tail
Matches/MatchScorecard_T20.asp?MatchCode=0853,37,c&amp;bChatara,106.67,5,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0614,1,st†MohammadShahzadbRashidKhan,25.00,0,0,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0613,-,dnb,-,-,-,Middle Order
Matches/MatchScorecard_T20.asp?MatchCode=0577,51,cNadeemAhmedbAizazKhan,137.50,7,0,Middle Order
