matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=0707,2018-07-31
Matches/MatchScorecard_T20.asp?MatchCode=0682,2018-05-31
Matches/MatchScorecard_T20.asp?MatchCode=0710,2018-08-05
Matches/MatchScorecard_T20.asp?MatchCode=0709,2018-08-04
Matches/MatchScorecard_T20.asp?MatchCode=0701,2018-04-03
Matches/MatchScorecard_T20.asp?MatchCode=0653,2018-01-03
Matches/MatchScorecard_T20.asp?MatchCode=0679,2018-04-02
Matches/MatchScorecard_T20.asp?MatchCode=0678,2018-04-01
Matches/MatchScorecard_T20.asp?MatchCode=0652,2018-01-01
Matches/MatchScorecard_T20.asp?MatchCode=0651,2017-12-29
Matches/MatchScorecard_T20.asp?MatchCode=0584,2016-09-27
Matches/MatchScorecard_T20.asp?MatchCode=0583,2016-09-24
Matches/MatchScorecard_T20.asp?MatchCode=0582,2016-09-23
Matches/MatchScorecard_T20.asp?MatchCode=0576,2016-08-28
Matches/MatchScorecard_T20.asp?MatchCode=0575,2016-08-27
Matches/MatchScorecard_ODI.asp?MatchCode=3909,2016-06-26
Matches/MatchScorecard_ODI.asp?MatchCode=3907,2016-06-24
Matches/MatchScorecard_ODI.asp?MatchCode=3905,2016-06-21
Matches/MatchScorecard_ODI.asp?MatchCode=3900,2016-06-15
Matches/MatchScorecard_ODI.asp?MatchCode=3898,2016-06-13
Matches/MatchScorecard_ODI.asp?MatchCode=3893,2016-06-05
Matches/MatchScorecard_T20.asp?MatchCode=0565,2016-03-27
Matches/MatchScorecard_T20.asp?MatchCode=0562,2016-03-25
Matches/MatchScorecard_T20.asp?MatchCode=0556,2016-03-20
Matches/MatchScorecard_ODI.asp?MatchCode=3892,2016-06-03
Matches/MatchScorecard_T20.asp?MatchCode=0474,2015-11-11
Matches/MatchScorecard_T20.asp?MatchCode=0473,2015-11-09
Matches/MatchScorecard_ODI.asp?MatchCode=3855,2015-11-07
Matches/MatchScorecard_ODI.asp?MatchCode=3853,2015-11-04
Matches/MatchScorecard_T20.asp?MatchCode=0424,2015-01-14
Matches/MatchScorecard_ODI.asp?MatchCode=3852,2015-11-01
Matches/MatchScorecard_T20.asp?MatchCode=0357,2014-01-11
Matches/MatchScorecard_T20.asp?MatchCode=0409,2014-07-06
Matches/MatchScorecard_T20.asp?MatchCode=0408,2014-07-05
Matches/MatchScorecard_T20.asp?MatchCode=0365,2014-02-21
Matches/MatchScorecard_T20.asp?MatchCode=0358,2014-01-15
Matches/MatchScorecard_T20.asp?MatchCode=0201,2011-04-21
Matches/MatchScorecard_T20.asp?MatchCode=0202,2011-06-04
Matches/MatchScorecard_T20.asp?MatchCode=0167,2010-05-07
Matches/MatchScorecard_ODI.asp?MatchCode=3100,2010-03-06
Matches/MatchScorecard_ODI.asp?MatchCode=3109,2010-05-22
Matches/MatchScorecard_T20.asp?MatchCode=0180,2010-05-20
Matches/MatchScorecard_T20.asp?MatchCode=0179,2010-05-19
Matches/MatchScorecard_T20.asp?MatchCode=0153,2010-04-30
Matches/MatchScorecard_ODI.asp?MatchCode=3108,2010-04-15
Matches/MatchScorecard_ODI.asp?MatchCode=3107,2010-04-13
Matches/MatchScorecard_ODI.asp?MatchCode=3097,2010-03-04
Matches/MatchScorecard_T20.asp?MatchCode=0159,2010-05-03
Matches/MatchScorecard_T20.asp?MatchCode=0151,2010-02-28
Matches/MatchScorecard_T20.asp?MatchCode=0106,2009-06-12
Matches/MatchScorecard_T20.asp?MatchCode=0101,2009-06-10
Matches/MatchScorecard_ODI.asp?MatchCode=3031,2009-09-30
Matches/MatchScorecard_ODI.asp?MatchCode=3024,2009-09-26
Matches/MatchScorecard_ODI.asp?MatchCode=3021,2009-09-23
Matches/MatchScorecard_ODI.asp?MatchCode=2989,2009-07-31
Matches/MatchScorecard_ODI.asp?MatchCode=2987,2009-07-28
Matches/MatchScorecard_ODI.asp?MatchCode=2986,2009-07-26
Matches/MatchScorecard_T20.asp?MatchCode=0112,2009-06-15
Matches/MatchScorecard_T20.asp?MatchCode=0107,2009-06-13
Matches/MatchScorecard_T20.asp?MatchCode=0093,2009-06-06
Matches/MatchScorecard_T20.asp?MatchCode=0087,2009-03-15
Matches/MatchScorecard_T20.asp?MatchCode=0118,2009-08-02
Matches/MatchScorecard_ODI.asp?MatchCode=2836,2008-06-29
Matches/MatchScorecard_ODI.asp?MatchCode=2831,2008-06-27
Matches/MatchScorecard_ODI.asp?MatchCode=2825,2008-06-24
Matches/MatchScorecard_T20.asp?MatchCode=0057,2008-06-20
Matches/MatchScorecard_ODI.asp?MatchCode=2848,2008-07-06
