matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=1109,2020-02-26
Matches/MatchScorecard_T20.asp?MatchCode=1091,2020-02-23
Matches/MatchScorecard_T20.asp?MatchCode=1089,2020-02-21
Matches/MatchScorecard_T20.asp?MatchCode=0581,2016-09-09
Matches/MatchScorecard_T20.asp?MatchCode=0499,2016-01-29
Matches/MatchScorecard_T20.asp?MatchCode=0498,2016-01-26
Matches/MatchScorecard_T20.asp?MatchCode=0465,2015-08-31
Matches/MatchScorecard_T20.asp?MatchCode=0361,2014-02-02
Matches/MatchScorecard_T20.asp?MatchCode=0360,2014-01-31
Matches/MatchScorecard_T20.asp?MatchCode=0359,2014-01-29
Matches/MatchScorecard_T20.asp?MatchCode=0333,2013-08-31
Matches/MatchScorecard_T20.asp?MatchCode=0332,2013-08-29
Matches/MatchScorecard_T20.asp?MatchCode=0303,2013-01-28
Matches/MatchScorecard_T20.asp?MatchCode=0302,2013-01-26
Matches/MatchScorecard_T20.asp?MatchCode=0262,2012-09-10
Matches/MatchScorecard_T20.asp?MatchCode=0284,2012-09-30
Matches/MatchScorecard_T20.asp?MatchCode=0281,2012-09-28
Matches/MatchScorecard_T20.asp?MatchCode=0273,2012-09-22
Matches/MatchScorecard_T20.asp?MatchCode=0267,2012-09-19
Matches/MatchScorecard_T20.asp?MatchCode=0259,2012-09-07
Matches/MatchScorecard_T20.asp?MatchCode=0291,2012-10-05
Matches/MatchScorecard_T20.asp?MatchCode=0258,2012-09-05
Matches/MatchScorecard_T20.asp?MatchCode=0245,2012-03-30
Matches/MatchScorecard_T20.asp?MatchCode=0243,2012-03-27
Matches/MatchScorecard_T20.asp?MatchCode=0220,2012-02-03
Matches/MatchScorecard_T20.asp?MatchCode=0288,2012-10-02
Matches/MatchScorecard_T20.asp?MatchCode=0219,2012-02-01
Matches/MatchScorecard_T20.asp?MatchCode=0214,2011-10-16
Matches/MatchScorecard_T20.asp?MatchCode=0212,2011-10-13
