matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=1122,2020-03-06
Matches/MatchScorecard_T20.asp?MatchCode=1119,2020-03-04
Matches/MatchScorecard_T20.asp?MatchCode=1073,2020-01-19
Matches/MatchScorecard_T20.asp?MatchCode=1072,2020-01-18
Matches/MatchScorecard_T20.asp?MatchCode=1071,2020-01-15
Matches/MatchScorecard_T20.asp?MatchCode=1060,2019-11-17
Matches/MatchScorecard_T20.asp?MatchCode=1059,2019-11-16
Matches/MatchScorecard_T20.asp?MatchCode=1057,2019-11-14
Matches/MatchScorecard_T20.asp?MatchCode=1067,2019-12-11
Matches/MatchScorecard_T20.asp?MatchCode=0770,2019-03-10
Matches/MatchScorecard_T20.asp?MatchCode=1065,2019-12-08
Matches/MatchScorecard_T20.asp?MatchCode=0769,2019-03-08
Matches/MatchScorecard_T20.asp?MatchCode=1063,2019-12-06
Matches/MatchScorecard_T20.asp?MatchCode=0877,2019-08-06
Matches/MatchScorecard_T20.asp?MatchCode=0768,2019-03-05
Matches/MatchScorecard_T20.asp?MatchCode=0874,2019-08-04
Matches/MatchScorecard_T20.asp?MatchCode=0872,2019-08-03
Matches/MatchScorecard_T20.asp?MatchCode=0735,2018-12-22
Matches/MatchScorecard_T20.asp?MatchCode=0734,2018-12-20
Matches/MatchScorecard_T20.asp?MatchCode=0733,2018-12-17
Matches/MatchScorecard_T20.asp?MatchCode=0728,2018-11-11
Matches/MatchScorecard_T20.asp?MatchCode=0727,2018-11-06
Matches/MatchScorecard_T20.asp?MatchCode=0725,2018-11-04
Matches/MatchScorecard_T20.asp?MatchCode=0653,2018-01-03
Matches/MatchScorecard_T20.asp?MatchCode=0652,2018-01-01
