matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=0947,2019-10-09
Matches/MatchScorecard_T20.asp?MatchCode=0946,2019-10-07
Matches/MatchScorecard_T20.asp?MatchCode=0743,2019-02-06
Matches/MatchScorecard_T20.asp?MatchCode=1044,2019-11-05
Matches/MatchScorecard_T20.asp?MatchCode=0791,2019-05-05
Matches/MatchScorecard_T20.asp?MatchCode=1041,2019-11-03
Matches/MatchScorecard_T20.asp?MatchCode=0741,2019-02-03
Matches/MatchScorecard_T20.asp?MatchCode=0740,2019-02-01
Matches/MatchScorecard_T20.asp?MatchCode=0685,2018-06-12
Matches/MatchScorecard_T20.asp?MatchCode=0720,2018-10-26
Matches/MatchScorecard_T20.asp?MatchCode=0719,2018-10-24
Matches/MatchScorecard_T20.asp?MatchCode=0705,2018-07-08
Matches/MatchScorecard_T20.asp?MatchCode=0687,2018-06-13
Matches/MatchScorecard_T20.asp?MatchCode=0702,2018-07-05
Matches/MatchScorecard_T20.asp?MatchCode=0726,2018-11-04
Matches/MatchScorecard_T20.asp?MatchCode=0700,2018-07-04
Matches/MatchScorecard_T20.asp?MatchCode=0701,2018-04-03
Matches/MatchScorecard_T20.asp?MatchCode=0724,2018-11-02
Matches/MatchScorecard_T20.asp?MatchCode=0697,2018-07-02
Matches/MatchScorecard_T20.asp?MatchCode=0679,2018-04-02
Matches/MatchScorecard_T20.asp?MatchCode=0656,2018-01-28
Matches/MatchScorecard_T20.asp?MatchCode=0655,2018-01-25
Matches/MatchScorecard_T20.asp?MatchCode=0654,2018-01-22
Matches/MatchScorecard_T20.asp?MatchCode=0696,2018-07-01
Matches/MatchScorecard_T20.asp?MatchCode=0678,2018-04-01
Matches/MatchScorecard_T20.asp?MatchCode=0634,2017-09-12
Matches/MatchScorecard_T20.asp?MatchCode=0643,2017-10-29
Matches/MatchScorecard_T20.asp?MatchCode=0642,2017-10-27
Matches/MatchScorecard_T20.asp?MatchCode=0640,2017-10-26
Matches/MatchScorecard_T20.asp?MatchCode=0636,2017-09-15
Matches/MatchScorecard_T20.asp?MatchCode=0635,2017-09-13
Matches/MatchScorecard_T20.asp?MatchCode=0617,2017-03-30
Matches/MatchScorecard_T20.asp?MatchCode=0619,2017-04-02
Matches/MatchScorecard_T20.asp?MatchCode=0618,2017-04-01
