matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=0410,2014-08-27
Matches/MatchScorecard_T20.asp?MatchCode=0398,2014-03-30
Matches/MatchScorecard_T20.asp?MatchCode=0381,2014-03-20
Matches/MatchScorecard_T20.asp?MatchCode=0377,2014-03-18
Matches/MatchScorecard_T20.asp?MatchCode=0372,2014-03-16
Matches/MatchScorecard_T20.asp?MatchCode=0402,2014-04-01
Matches/MatchScorecard_T20.asp?MatchCode=0320,2013-05-12
Matches/MatchScorecard_T20.asp?MatchCode=0319,2013-05-11
Matches/MatchScorecard_T20.asp?MatchCode=0337,2013-11-06
Matches/MatchScorecard_T20.asp?MatchCode=0316,2013-03-31
Matches/MatchScorecard_T20.asp?MatchCode=0294,2012-12-10
Matches/MatchScorecard_T20.asp?MatchCode=0277,2012-09-25
Matches/MatchScorecard_T20.asp?MatchCode=0270,2012-09-21
Matches/MatchScorecard_T20.asp?MatchCode=0256,2012-07-26
Matches/MatchScorecard_T20.asp?MatchCode=0255,2012-07-25
Matches/MatchScorecard_T20.asp?MatchCode=0254,2012-07-24
Matches/MatchScorecard_T20.asp?MatchCode=0253,2012-07-21
Matches/MatchScorecard_T20.asp?MatchCode=0252,2012-07-20
Matches/MatchScorecard_T20.asp?MatchCode=0251,2012-07-18
Matches/MatchScorecard_T20.asp?MatchCode=0218,2011-11-29
Matches/MatchScorecard_T20.asp?MatchCode=0211,2011-10-11
Matches/MatchScorecard_T20.asp?MatchCode=0162,2010-05-05
Matches/MatchScorecard_T20.asp?MatchCode=0155,2010-05-01
Matches/MatchScorecard_T20.asp?MatchCode=0097,2009-06-08
Matches/MatchScorecard_T20.asp?MatchCode=0078,2008-11-05
Matches/MatchScorecard_T20.asp?MatchCode=0055,2008-04-20
Matches/MatchScorecard_T20.asp?MatchCode=0042,2007-09-20
Matches/MatchScorecard_T20.asp?MatchCode=0038,2007-09-18
Matches/MatchScorecard_T20.asp?MatchCode=0033,2007-09-16
Matches/MatchScorecard_T20.asp?MatchCode=0031,2007-09-15
Matches/MatchScorecard_T20.asp?MatchCode=0024,2007-09-13
Matches/MatchScorecard_T20.asp?MatchCode=0018,2007-09-02
Matches/MatchScorecard_T20.asp?MatchCode=0017,2007-09-01
Matches/MatchScorecard_T20.asp?MatchCode=0009,2006-11-28
