matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=1082,2020-02-12
Matches/MatchScorecard_T20.asp?MatchCode=1109,2020-02-26
Matches/MatchScorecard_T20.asp?MatchCode=1091,2020-02-23
Matches/MatchScorecard_T20.asp?MatchCode=1089,2020-02-21
Matches/MatchScorecard_T20.asp?MatchCode=1087,2020-02-16
Matches/MatchScorecard_T20.asp?MatchCode=1084,2020-02-14
Matches/MatchScorecard_T20.asp?MatchCode=0926,2019-09-22
Matches/MatchScorecard_T20.asp?MatchCode=0921,2019-09-18
Matches/MatchScorecard_T20.asp?MatchCode=0773,2019-03-19
Matches/MatchScorecard_T20.asp?MatchCode=0716,2018-10-12
Matches/MatchScorecard_T20.asp?MatchCode=0729,2018-11-17
Matches/MatchScorecard_T20.asp?MatchCode=0715,2018-10-09
Matches/MatchScorecard_T20.asp?MatchCode=0711,2018-08-14
Matches/MatchScorecard_T20.asp?MatchCode=0641,2017-10-26
Matches/MatchScorecard_T20.asp?MatchCode=0609,2017-02-17
Matches/MatchScorecard_T20.asp?MatchCode=0539,2016-03-09
Matches/MatchScorecard_T20.asp?MatchCode=0533,2016-03-06
Matches/MatchScorecard_T20.asp?MatchCode=0532,2016-03-04
Matches/MatchScorecard_T20.asp?MatchCode=0567,2016-03-28
Matches/MatchScorecard_T20.asp?MatchCode=0562,2016-03-25
Matches/MatchScorecard_T20.asp?MatchCode=0555,2016-03-20
Matches/MatchScorecard_T20.asp?MatchCode=0553,2016-03-18
Matches/MatchScorecard_T20.asp?MatchCode=0438,2015-07-07
Matches/MatchScorecard_T20.asp?MatchCode=0437,2015-07-05
Matches/MatchScorecard_T20.asp?MatchCode=0369,2014-03-12
Matches/MatchScorecard_T20.asp?MatchCode=0415,2014-11-09
Matches/MatchScorecard_T20.asp?MatchCode=0414,2014-11-07
Matches/MatchScorecard_T20.asp?MatchCode=0413,2014-11-05
Matches/MatchScorecard_T20.asp?MatchCode=0405,2014-04-04
Matches/MatchScorecard_T20.asp?MatchCode=0397,2014-03-29
Matches/MatchScorecard_T20.asp?MatchCode=0392,2014-03-27
Matches/MatchScorecard_T20.asp?MatchCode=0389,2014-03-24
Matches/MatchScorecard_T20.asp?MatchCode=0385,2014-03-22
Matches/MatchScorecard_T20.asp?MatchCode=0371,2014-03-14
Matches/MatchScorecard_T20.asp?MatchCode=0348,2013-11-22
Matches/MatchScorecard_T20.asp?MatchCode=0345,2013-11-20
Matches/MatchScorecard_T20.asp?MatchCode=0339,2013-11-15
Matches/MatchScorecard_T20.asp?MatchCode=0338,2013-11-13
Matches/MatchScorecard_T20.asp?MatchCode=0329,2013-08-06
Matches/MatchScorecard_T20.asp?MatchCode=0328,2013-08-04
Matches/MatchScorecard_T20.asp?MatchCode=0327,2013-08-02
Matches/MatchScorecard_T20.asp?MatchCode=0300,2012-12-26
Matches/MatchScorecard_T20.asp?MatchCode=0298,2012-12-23
Matches/MatchScorecard_T20.asp?MatchCode=0296,2012-12-21
