matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=0682,2018-05-31
Matches/MatchScorecard_T20.asp?MatchCode=0589,2017-01-06
Matches/MatchScorecard_T20.asp?MatchCode=0588,2017-01-03
Matches/MatchScorecard_T20.asp?MatchCode=0609,2017-02-17
Matches/MatchScorecard_T20.asp?MatchCode=0489,2016-01-10
Matches/MatchScorecard_T20.asp?MatchCode=0487,2016-01-07
Matches/MatchScorecard_T20.asp?MatchCode=0568,2016-03-30
Matches/MatchScorecard_T20.asp?MatchCode=0563,2016-03-26
Matches/MatchScorecard_T20.asp?MatchCode=0558,2016-03-22
Matches/MatchScorecard_T20.asp?MatchCode=0552,2016-03-18
Matches/MatchScorecard_T20.asp?MatchCode=0548,2016-03-15
Matches/MatchScorecard_T20.asp?MatchCode=0496,2016-01-22
Matches/MatchScorecard_T20.asp?MatchCode=0492,2016-01-17
Matches/MatchScorecard_T20.asp?MatchCode=0491,2016-01-15
Matches/MatchScorecard_T20.asp?MatchCode=0462,2015-08-09
Matches/MatchScorecard_T20.asp?MatchCode=0464,2015-08-16
Matches/MatchScorecard_T20.asp?MatchCode=0463,2015-08-14
Matches/MatchScorecard_T20.asp?MatchCode=0432,2015-06-23
Matches/MatchScorecard_T20.asp?MatchCode=0357,2014-01-11
Matches/MatchScorecard_T20.asp?MatchCode=0409,2014-07-06
Matches/MatchScorecard_T20.asp?MatchCode=0421,2014-12-05
Matches/MatchScorecard_T20.asp?MatchCode=0408,2014-07-05
Matches/MatchScorecard_T20.asp?MatchCode=0420,2014-12-04
Matches/MatchScorecard_T20.asp?MatchCode=0401,2014-03-31
Matches/MatchScorecard_T20.asp?MatchCode=0396,2014-03-29
Matches/MatchScorecard_T20.asp?MatchCode=0389,2014-03-24
Matches/MatchScorecard_T20.asp?MatchCode=0386,2014-03-22
Matches/MatchScorecard_T20.asp?MatchCode=0358,2014-01-15
Matches/MatchScorecard_T20.asp?MatchCode=0346,2013-11-21
Matches/MatchScorecard_T20.asp?MatchCode=0337,2013-11-06
Matches/MatchScorecard_T20.asp?MatchCode=0081,2009-01-11
Matches/MatchScorecard_T20.asp?MatchCode=0082,2009-01-13
Matches/MatchScorecard_T20.asp?MatchCode=0057,2008-06-20
