matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=1081,2020-02-02
Matches/MatchScorecard_T20.asp?MatchCode=1080,2020-01-31
Matches/MatchScorecard_T20.asp?MatchCode=1079,2020-01-29
Matches/MatchScorecard_T20.asp?MatchCode=1077,2020-01-26
Matches/MatchScorecard_T20.asp?MatchCode=1074,2020-01-24
Matches/MatchScorecard_T20.asp?MatchCode=0736,2019-01-11
Matches/MatchScorecard_T20.asp?MatchCode=1054,2019-11-10
Matches/MatchScorecard_T20.asp?MatchCode=0745,2019-02-10
Matches/MatchScorecard_T20.asp?MatchCode=1051,2019-11-08
Matches/MatchScorecard_T20.asp?MatchCode=0744,2019-02-08
Matches/MatchScorecard_T20.asp?MatchCode=0911,2019-09-06
Matches/MatchScorecard_T20.asp?MatchCode=0742,2019-02-06
Matches/MatchScorecard_T20.asp?MatchCode=1043,2019-11-05
Matches/MatchScorecard_T20.asp?MatchCode=1040,2019-11-03
Matches/MatchScorecard_T20.asp?MatchCode=0902,2019-09-03
Matches/MatchScorecard_T20.asp?MatchCode=1035,2019-11-01
Matches/MatchScorecard_T20.asp?MatchCode=0901,2019-09-01
Matches/MatchScorecard_T20.asp?MatchCode=0723,2018-10-31
Matches/MatchScorecard_T20.asp?MatchCode=0726,2018-11-04
Matches/MatchScorecard_T20.asp?MatchCode=0668,2018-02-21
Matches/MatchScorecard_T20.asp?MatchCode=0665,2018-02-18
Matches/MatchScorecard_T20.asp?MatchCode=0664,2018-02-16
Matches/MatchScorecard_T20.asp?MatchCode=0662,2018-02-13
Matches/MatchScorecard_T20.asp?MatchCode=0724,2018-11-02
